"ID","Descripcion","Resultado","Esperado","Obtenido","Observaciones"
"PP-07","Crear movimientos de forma secuencial (siembra)","PASO","global < 90000 ms","16608 ms (1000 movimientos)","promedio/op=16.6 ms"
"PP-01","Listar movimientos (volumen sembrado)","PASO","200, count=1000, p95 < 500 ms","HTTP 200, count=1000, mediana=17ms p95=19ms p99=19ms",""
"PP-02","Listar movimientos filtrados por categoria+tipo","PASO","200, solo cat+tipo, p95 < 500 ms","HTTP 200, count=500, mediana=12ms p95=13ms","filtro coherente=True"
"PP-03","Listar presupuestos filtrados anio+mes","PASO","200, solo 2026-09, p95 < 500 ms","HTTP 200, count=17, mediana=9ms p95=9ms","filtro coherente=True"
"PP-04","Listar categorias (50 registros)","PASO","200, count=50, p95 < 300 ms","HTTP 200, count=50, mediana=20ms p95=28ms",""
"PP-05","Listar movimientos (volumen alto)","SALTADO","requiere -Movimientos 10000","-Movimientos=1000",""
"PP-06","Crear movimiento puntual","PASO","201, p95 < 500 ms","HTTP 201, mediana=13ms p95=13ms",""
"PP-08","Login con credenciales validas","PASO","200, p95 < 500 ms","HTTP 200, mediana=110ms p95=115ms",""
